id,definitionId,level,placedBuildingsJSON
1738928,city.City_Capital,,"{""building.Building_AgeOfTheFranks_Home_Small_2"": 62, ""building.Building_AgeOfTheFranks_Home_Small_3"": 4, ""building.Building_FeudalAge_Home_Average_1"": 2, ""building.Building_FeudalAge_CultureSite_Compact_1"": 9, ""building.Building_IberianEra_Home_Small_1"": 1, ""building.Building_IberianEra_Barracks_Infantry_1"": 1, ""building.Building_MinoanEra_Collectable_MinoanWatchtowerV2_2"": 1, ""building.Building_IberianEra_Workshop_SpiceMerchant_1"": 2, ""building.Building_FeudalAge_Special_Furnace_1"": 1, ""building.Building_BronzeAge_Collectable_SchoolV2_2"": 1, ""building.Building_IberianEra_Barracks_Ranged_1"": 1, ""building.Building_FeudalAge_Home_Small_1"": 4, ""building.Building_AgeOfTheFranks_Home_Average_3"": 2, ""building.Building_IberianEra_CultureSite_Moderate_1"": 11, ""building.Building_IberianEra_City_CityHall_1"": 1, ""building.Building_IberianEra_CultureSite_Little_1"": 2, ""building.Building_IberianEra_Barracks_Siege_1"": 1, ""building.Building_IberianEra_Barracks_HeavyInfantry_1"": 1, ""building.Building_IberianEra_Special_HeroAcademy_1"": 1, ""building.Building_IberianEra_CultureSite_Compact_1"": 4, ""building.Building_FeudalAge_Farm_Domestic_3"": 10, ""building.Building_IberianEra_Farm_Rural_1"": 2, ""building.Building_TreasureHunt_Evolving_FountainOfYouth_1"": 1, ""building.Building_IberianEra_Workshop_Carpenter_1"": 2, ""building.Building_IberianEra_Barracks_Cavalry_1"": 1, ""building.Building_ClassicGreece_Collectable_ArchitectsStudioV2_2"": 1, ""building.Building_FeudalAge_CultureSite_Large_1"": 1, ""building.Building_IberianEra_Workshop_Scribe_1"": 2}"
8771046,city.City_Egypt,,"{""building.Building_Egypt_Irrigation_Channel_4"": 4, ""building.Building_Egypt_PapyrusField_Average_4"": 2, ""building.Building_Egypt_Workshop_Goldsmith_5"": 1, ""building.Building_Egypt_Workshop_Goldsmith_4"": 1, ""building.Building_Egypt_Irrigation_SmallWell_3"": 3, ""building.Building_Egypt_Home_Average_4"": 10, ""building.Building_Egypt_Home_Average_1"": 1, ""building.Building_Egypt_Home_Small_4"": 7, ""building.Building_Egypt_Home_Average_2"": 1, ""building.Building_Egypt_GoldMine_Average_5"": 3, ""building.Building_Egypt_Home_Small_3"": 1, ""building.Building_Egypt_Home_Small_1"": 4, ""building.Building_Egypt_City_CityHall_2"": 1, ""building.Building_Egypt_Workshop_PapyrusPress_4"": 2, ""building.Building_Egypt_Workshop_PapyrusPress_5"": 1}"
